userId,query,tutorId,os_score,rerank_score,price,rating,position,label
e8a9f3b5-4d7c-4e12-8f0a-1b6c7d2e3f4a,find Computer tutor for programming fundamentals learners,150,4.5148296,0.0,125000,4.8,1,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),215,3.391595,0.77277654,170000,4.8,1,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),238,4.116261,0.73763746,150000,4.7,2,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),378,4.2878165,0.7087879,150000,4.1,3,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),228,3.936562,0.6728393,165000,4.2,4,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),183,3.391595,0.59644014,185000,4.8,5,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),227,3.391595,0.57857877,160000,4.7,6,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),239,3.185689,0.54961497,190000,4.9,7,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),274,3.2063444,0.49906853,160000,4.8,8,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),169,2.8378913,0.49100563,160000,4.8,9,1
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,IELTS private lessons advanced (7.0+),161,3.391595,0.48703846,170000,4.8,10,1
f9e8d7c6-b5a4-4321-9876-543210fedcba,Math private lessons basic arithmetic,363,3.184295,0.4,100000,3.9,1,1
f9e8d7c6-b5a4-4321-9876-543210fedcba,Math private lessons basic arithmetic,389,3.184295,0.0,100000,3.9,2,1
f9e8d7c6-b5a4-4321-9876-543210fedcba,find IELTS tutor for foundation (4.0) learners,449,2.6025314,0.0,165000,4.9,1,1
f9e8d7c6-b5a4-4321-9876-543210fedcba,IELTS teacher for advanced (7.0+) level,97,2.7230868,0.0,185000,3.9,1,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,234,5.6742067,0.8486282,160000,4.8,1,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,253,4.4184666,0.7214249,165000,4.8,2,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,243,5.070806,0.7179694,165000,4.7,3,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,250,4.7961087,0.7174178,155000,4.7,4,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,159,6.279534,0.7049728,185000,4.9,5,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,169,4.942769,0.69649065,160000,4.8,6,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,181,6.279534,0.6940256,170000,4.9,7,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,173,6.279534,0.6715132,175000,4.9,8,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,331,4.457098,0.6702186,185000,4.7,9,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Computer private lessons programming fundamentals,177,3.8796322,0.65519845,195000,5.0,10,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Algebra private lessons basic,328,3.1815267,0.6,85000,4.9,1,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Algebra private lessons basic,47,1.9925563,0.4,55000,4.9,2,1
c7b6a5d4-e3f2-4g1h-9i0j-1k2l3m4n5o6p,Algebra private lessons basic,36,1.9925563,0.3407102,55000,4.9,3,1
